epoch,acc,loss,lr,mse,val_acc,val_loss,val_mse
0,0.8901429176330566,0.22767207026481628,0.001,0.07378056645393372,0.8894281983375549,nan,nan
1,0.8909214735031128,0.2246374636888504,0.001,0.07305600494146347,0.8894281983375549,nan,nan
2,0.891181230545044,0.22381825745105743,0.001,0.07286083698272705,0.8894281983375549,nan,nan
3,0.8912944793701172,0.2235306054353714,0.001,0.07279126346111298,0.8894281983375549,nan,nan
4,0.8913318514823914,0.2234058529138565,0.001,0.07276351004838943,0.8894281983375549,nan,nan
5,0.891533613204956,0.2227918803691864,0.000100000005,0.072621189057827,0.8894281983375549,nan,nan
6,0.8915280699729919,0.2227531522512436,0.000100000005,0.0726126879453659,0.8894281983375549,nan,nan
7,0.8915321826934814,0.22274646162986755,0.000100000005,0.07261103391647339,0.8894281983375549,nan,nan
8,0.8915362358093262,0.22274500131607056,0.000100000005,0.07261009514331818,0.8894281983375549,nan,nan
9,0.8915349841117859,0.22273927927017212,0.000100000005,0.07260911911725998,0.8894281983375549,nan,nan
10,0.8915442228317261,0.2226802259683609,1.0000001e-05,0.07259850949048996,0.8894281983375549,nan,nan
11,0.8915526270866394,0.22266213595867157,1.0000001e-05,0.07259349524974823,0.8894281983375549,nan,nan
12,0.8915566802024841,0.22265742719173431,1.0000001e-05,0.07259204983711243,0.8894281983375549,nan,nan
13,0.8915597200393677,0.2226560115814209,1.0000001e-05,0.07259134948253632,0.8894281983375549,nan,nan
14,0.8915606737136841,0.22265419363975525,1.0000001e-05,0.0725908875465393,0.8894281983375549,nan,nan
15,0.8915664553642273,0.22264374792575836,1.0000001e-06,0.07258844375610352,0.8894281983375549,nan,nan
16,0.8915684819221497,0.22264283895492554,1.0000001e-06,0.07258837670087814,0.8894281983375549,nan,nan
17,0.891568124294281,0.2226429432630539,1.0000001e-06,0.07258831709623337,0.8894281983375549,nan,nan
18,0.891568660736084,0.2226424366235733,1.0000001e-06,0.072588250041008,0.8894281983375549,nan,nan
19,0.8915683031082153,0.2226424366235733,1.0000001e-06,0.07258816808462143,0.8894281983375549,nan,nan
20,0.891569197177887,0.22264117002487183,1.0000001e-07,0.07258768379688263,0.8894281983375549,nan,nan
21,0.8915690183639526,0.22264114022254944,1.0000001e-07,0.07258772104978561,0.8894281983375549,nan,nan
22,0.8915693163871765,0.22264128923416138,1.0000001e-07,0.07258769869804382,0.8894281983375549,nan,nan
23,0.8915694952011108,0.22264133393764496,1.0000001e-07,0.0725877434015274,0.8894281983375549,nan,nan
24,0.8915693759918213,0.2226414531469345,1.0000001e-07,0.07258770614862442,0.8894281983375549,nan,nan
25,0.8915695548057556,0.22264103591442108,1.0000001e-08,0.07258769124746323,0.8894281983375549,nan,nan
26,0.8915695548057556,0.22264105081558228,1.0000001e-08,0.07258770614862442,0.8894281983375549,nan,nan
27,0.8915693759918213,0.22264105081558228,1.0000001e-08,0.07258769124746323,0.8894281983375549,nan,nan
28,0.8915693759918213,0.22264109551906586,1.0000001e-08,0.07258770614862442,0.8894281983375549,nan,nan
29,0.8915692567825317,0.22264111042022705,1.0000001e-08,0.07258769869804382,0.8894281983375549,nan,nan
30,0.8915693759918213,0.22264105081558228,1.0000001e-09,0.07258771359920502,0.8894281983375549,nan,nan
31,0.8915693759918213,0.22264105081558228,1.0000001e-09,0.07258771359920502,0.8894281983375549,nan,nan
32,0.8915693759918213,0.22264105081558228,1.0000001e-09,0.07258771359920502,0.8894281983375549,nan,nan
33,0.8915693759918213,0.22264103591442108,1.0000001e-09,0.07258771359920502,0.8894281983375549,nan,nan
34,0.8915695548057556,0.22264103591442108,1.0000001e-09,0.07258770614862442,0.8894281983375549,nan,nan
35,0.8915693759918213,0.22264103591442108,1.0000001e-10,0.07258770614862442,0.8894281983375549,nan,nan
36,0.8915693759918213,0.22264103591442108,1.0000001e-10,0.07258770614862442,0.8894281983375549,nan,nan
37,0.8915693759918213,0.22264103591442108,1.0000001e-10,0.07258770614862442,0.8894281983375549,nan,nan
38,0.8915693759918213,0.22264103591442108,1.0000001e-10,0.07258770614862442,0.8894281983375549,nan,nan
39,0.8915693759918213,0.22264103591442108,1.0000001e-10,0.07258770614862442,0.8894281983375549,nan,nan
40,0.8915695548057556,0.22264103591442108,1.0000001e-11,0.07258770614862442,0.8894281983375549,nan,nan
41,0.8915693759918213,0.22264106571674347,1.0000001e-11,0.07258770614862442,0.8894281983375549,nan,nan
42,0.8915693759918213,0.22264106571674347,1.0000001e-11,0.07258770614862442,0.8894281983375549,nan,nan
43,0.8915693759918213,0.22264103591442108,1.0000001e-11,0.07258770614862442,0.8894281983375549,nan,nan
44,0.8915693759918213,0.22264103591442108,1.0000001e-11,0.07258770614862442,0.8894281983375549,nan,nan
45,0.8915695548057556,0.22264103591442108,1.0000001e-12,0.07258770614862442,0.8894281983375549,nan,nan
46,0.8915693759918213,0.22264106571674347,1.0000001e-12,0.07258770614862442,0.8894281983375549,nan,nan
47,0.8915693759918213,0.22264103591442108,1.0000001e-12,0.07258770614862442,0.8894281983375549,nan,nan
48,0.8915693759918213,0.22264103591442108,1.0000001e-12,0.07258770614862442,0.8894281983375549,nan,nan
49,0.8915693759918213,0.22264103591442108,1.0000001e-12,0.07258770614862442,0.8894281983375549,nan,nan
50,0.8915693759918213,0.22264103591442108,1.0000001e-13,0.07258770614862442,0.8894281983375549,nan,nan
51,0.8915693759918213,0.22264103591442108,1.0000001e-13,0.07258770614862442,0.8894281983375549,nan,nan
